gate,gate_name,input1_mapped,input2_mapped,leakage_current
not,  X1,1,1,
nand,  X20,1,1,
nand,  X21,0.00367495,1,
nand,  X22,1,1,
nand,  X23,1,1,
nand,  X24,0.00367495,1,
nand,  X25,1,1,
nand,  X26,1,1,
nand,  X27,1,1,
nand,  X28,1,1,
nand,  X29,0.00367495,1,
nand,  X210,1,1,
nand,  X211,1,1,
nand,  X212,1,1,
nand,  X213,1,1,
nand,  X214,1,1,
nand,  X215,1,1,
nand,  X216,1,1,
nor,  X217,1,1,
nor,  X218,1,1,
not,  X30,0,0,7.73475e-08
not,  X31,1,1,9.38121e-08
not,  X32,0,0,7.73475e-08
not,  X33,0,0,7.73475e-08
not,  X34,1,1,9.38121e-08
not,  X35,0,0,7.73475e-08
not,  X36,0,0,7.73475e-08
not,  X37,0,0,7.73475e-08
not,  X38,0,0,7.73475e-08
not,  X39,1,1,9.38121e-08
not,  X310,0,0,7.73475e-08
not,  X311,0,0,7.73475e-08
not,  X312,0,0,7.73475e-08
not,  X313,0,0,7.73475e-08
not,  X314,0,0,7.73475e-08
not,  X315,0,0,7.73475e-08
not,  X316,0,0,7.73475e-08
not,  X317,0,0,7.73475e-08
not,  X318,0,0,7.73475e-08
nor,  X40,1,0,1.34682e-07
nand,  X41,1.09933,1,
nand,  X42,0.00068022,1,
nand,  X43,1.09933,1,
nand,  X44,1,1,1.87336e-07
nand,  X45,0,1,9.52698e-08
nand,  X46,1.09933,1,
nand,  X47,1,1,1.87336e-07
nand,  X48,1,1,1.87336e-07
nor,  X49,1,1,5.05221e-08
not,  X50,0,0,7.73475e-08
not,  X51,1,1,9.38121e-08
not,  X52,0,0,7.73475e-08
not,  X53,0,0,7.73475e-08
not,  X54,1,1,9.38121e-08
not,  X55,0,0,7.73475e-08
not,  X56,0,0,7.73475e-08
not,  X57,0,0,7.73475e-08
not,  X58,0,0,7.73475e-08
nor,  X60,1,0,1.34682e-07
nor,  X61,1,1,5.05221e-08
nor,  X62,1,0,1.34682e-07
nor,  X63,1,1,5.05221e-08
nor,  X64,1,1,5.05221e-08
not,  X70,0,0,7.73475e-08
not,  X71,0,0,7.73475e-08
not,  X72,0,0,7.73475e-08
not,  X73,0,0,7.73475e-08
not,  X74,0,0,7.73475e-08
nor,  X80,1,1,5.05221e-08
nor,  X81,1,1,5.05221e-08
nor,  X82,1,1,5.05221e-08
not,  X90,0,0,7.73475e-08
